intmpi.default,195,117529.02099999992,22533.392,181574.28199999998,0,1,3.0793921553425476,209.548591104
sma.E,2,3058057.069,25888.475,3083945.545,105196.234,1020,71.38275659437272,77.435097088
sma.A,42,2629164.894,144462.51599999997,48339346.88400002,4990321.420000002,54,75.18434679830872,325.585113088
intsmp.default,62,24274.127000000008,56841.388999999996,153966.645,0,1,1.8418012745019106,10.685386752
dma.LS,607,1177911858.7029998,15356767.962000005,1549735182.4040005,44166674.91100001,279,2.9839826156960343,7517.303394304
dma.LM,50,284213862.8730001,1074608.1490000004,3078688484.284,78629667.71,2164,2.6859552069383517,6559.765704704
single.default,5421,23641262.85700004,4114690.0340000046,41204174.89200001,0,1,0.36817050649283434,21.177028608
aps.E,34,556813.627,35234.488,787139.3589999999,36496.31999999999,960,6.094061336591802,129.112317952
dma.L,22,12062529249.702,87280630.489,12232562992.154001,318415289.77199996,5656,2.045102279126731,16223.514488832
aps.A,14,0.8359999999999999,54.082,54.91700000000001,377.79,80,0.00418715873015873,0.49995776
dma.E,268,8690544962.553003,51239047.49600001,15427739365.689999,400482778.12,534,2.027647140647107,37963.777236992
dma.D,267,1823811445.6990006,7265395.839000003,4987054909.469,131133272.20100005,291,1.0348992337946277,4880.315035648
dma.F,234,10964882098.686993,88965859.283,14058677535.284002,364612574.95000035,881,2.4381677984476915,2337.793421312
dma.A,1882,2544318983.4560018,64099929.925,3564954510.483995,135253587.146,19,4.299953584853935,3076.386656256
dma.C,446,578827810.0880003,103713222.56000002,1773636055.5300014,52848229.99399999,139,1.1174958176444563,9243.38884608
dma.B,404,362716861.9909999,6954690.6729999995,1008198742.1810002,33740765.54799999,68,2.684153044614583,4642.298314752
dma.M,129,1210220358.0529995,4004392.100999999,2498134927.371001,84800787.67199999,1901,1.1771534744505598,2897.024487424
dma.MS,822,313250025.5410005,2351059.7449999982,594932359.1559994,19714209.84899999,99,2.0740469349537607,6470.582038528
smb.A,589,500595649.28700024,2890753.6110000024,558049473.8550004,30538267.957999967,73,5.1245376689054725,367.442403328
smb.C,266,12941774.100000003,872931.5120000001,15054338.429999989,886290.568,314,5.881331372380807,1372.312727552
smb.B,122,1226592.628,14744.330000000005,2542897.9630000005,409960.1440000001,141,1.3178308568409132,506.97342976
smb.E,16,277535433.99500006,2094923.726,368132928.5580001,11939071.013999999,930,869.9500705557527,2397.785583616
